x,y
0.0,0.0
0.3141,0.3141
0.6282,0.6279
0.9421,0.9411
1.2558,1.2533
1.5692,1.5643
1.8822,1.8738
2.1947,2.1814
2.5067,2.4869
2.818,2.7899
3.1287,3.0902
3.4386,3.3874
3.7476,3.6812
4.0557,3.9715
4.3629,4.2578
4.6689,4.5399
4.9738,4.8175
5.2775,5.0904
5.5798,5.3583
5.8808,5.6208
6.1803,5.8779
6.4783,6.1291
6.7748,6.3742
7.0695,6.6131
7.3625,6.8455
7.6537,7.0711
7.943,7.2897
8.2303,7.5011
8.5156,7.7051
8.7988,7.9016
9.0798,8.0902
9.3586,8.2708
9.6351,8.4433
9.9092,8.6074
10.1808,8.7631
10.45,8.9101
10.7165,9.0483
10.9805,9.1775
11.2417,9.2978
11.5001,9.4088
11.7557,9.5106
12.0084,9.6029
12.2581,9.6858
12.5049,9.7592
12.7485,9.8229
12.989,9.8769
13.2262,9.9211
13.4603,9.9556
13.6909,9.9803
13.9183,9.9951
14.1421,10.0
14.3625,9.9951
14.5794,9.9803
14.7926,9.9556
15.0022,9.9211
15.2081,9.8769
15.4103,9.8229
15.6086,9.7592
15.8031,9.6858
15.9937,9.6029
16.1803,9.5106
16.363,9.4088
16.5416,9.2978
16.7161,9.1775
16.8866,9.0483
17.0528,8.9101
17.2148,8.7631
17.3726,8.6074
17.5261,8.4433
17.6753,8.2708
17.8201,8.0902
17.9606,7.9016
18.0965,7.7051
18.2281,7.5011
18.3551,7.2897
18.4776,7.0711
18.5955,6.8455
18.7089,6.6131
18.8176,6.3742
18.9217,6.1291
19.0211,5.8779
19.1159,5.6208
19.2059,5.3583
19.2911,5.0904
19.3717,4.8175
19.4474,4.5399
19.5183,4.2578
19.5845,3.9715
19.6457,3.6812
19.7022,3.3874
19.7538,3.0902
19.8005,2.7899
19.8423,2.4869
19.8792,2.1814
19.9112,1.8738
19.9383,1.5643
19.9605,1.2533
19.9778,0.9411
19.9901,0.6279
19.9975,0.3141
20.0,0.0
19.9975,-0.3141
19.9901,-0.6279
19.9778,-0.9411
19.9605,-1.2533
19.9383,-1.5643
19.9112,-1.8738
19.8792,-2.1814
19.8423,-2.4869
19.8005,-2.7899
19.7538,-3.0902
19.7022,-3.3874
19.6457,-3.6812
19.5845,-3.9715
19.5183,-4.2578
19.4474,-4.5399
19.3717,-4.8175
19.2911,-5.0904
19.2059,-5.3583
19.1159,-5.6208
19.0211,-5.8779
18.9217,-6.1291
18.8176,-6.3742
18.7089,-6.6131
18.5955,-6.8455
18.4776,-7.0711
18.3551,-7.2897
18.2281,-7.5011
18.0965,-7.7051
17.9606,-7.9016
17.8201,-8.0902
17.6753,-8.2708
17.5261,-8.4433
17.3726,-8.6074
17.2148,-8.7631
17.0528,-8.9101
16.8866,-9.0483
16.7161,-9.1775
16.5416,-9.2978
16.363,-9.4088
16.1803,-9.5106
15.9937,-9.6029
15.8031,-9.6858
15.6086,-9.7592
15.4103,-9.8229
15.2081,-9.8769
15.0022,-9.9211
14.7926,-9.9556
14.5794,-9.9803
14.3625,-9.9951
14.1421,-10.0
13.9183,-9.9951
13.6909,-9.9803
13.4603,-9.9556
13.2262,-9.9211
12.989,-9.8769
12.7485,-9.8229
12.5049,-9.7592
12.2581,-9.6858
12.0084,-9.6029
11.7557,-9.5106
11.5001,-9.4088
11.2417,-9.2978
10.9805,-9.1775
10.7165,-9.0483
10.45,-8.9101
10.1808,-8.7631
9.9092,-8.6074
9.6351,-8.4433
9.3586,-8.2708
9.0798,-8.0902
8.7988,-7.9016
8.5156,-7.7051
8.2303,-7.5011
7.943,-7.2897
7.6537,-7.0711
7.3625,-6.8455
7.0695,-6.6131
6.7748,-6.3742
6.4783,-6.1291
6.1803,-5.8779
5.8808,-5.6208
5.5798,-5.3583
5.2775,-5.0904
4.9738,-4.8175
4.6689,-4.5399
4.3629,-4.2578
4.0557,-3.9715
3.7476,-3.6812
3.4386,-3.3874
3.1287,-3.0902
2.818,-2.7899
2.5067,-2.4869
2.1947,-2.1814
1.8822,-1.8738
1.5692,-1.5643
1.2558,-1.2533
0.9421,-0.9411
0.6282,-0.6279
0.3141,-0.3141
0.0,-0.0
-0.3141,0.3141
-0.6282,0.6279
-0.9421,0.9411
-1.2558,1.2533
-1.5692,1.5643
-1.8822,1.8738
-2.1947,2.1814
-2.5067,2.4869
-2.818,2.7899
-3.1287,3.0902
-3.4386,3.3874
-3.7476,3.6812
-4.0557,3.9715
-4.3629,4.2578
-4.6689,4.5399
-4.9738,4.8175
-5.2775,5.0904
-5.5798,5.3583
-5.8808,5.6208
-6.1803,5.8779
-6.4783,6.1291
-6.7748,6.3742
-7.0695,6.6131
-7.3625,6.8455
-7.6537,7.0711
-7.943,7.2897
-8.2303,7.5011
-8.5156,7.7051
-8.7988,7.9016
-9.0798,8.0902
-9.3586,8.2708
-9.6351,8.4433
-9.9092,8.6074
-10.1808,8.7631
-10.45,8.9101
-10.7165,9.0483
-10.9805,9.1775
-11.2417,9.2978
-11.5001,9.4088
-11.7557,9.5106
-12.0084,9.6029
-12.2581,9.6858
-12.5049,9.7592
-12.7485,9.8229
-12.989,9.8769
-13.2262,9.9211
-13.4603,9.9556
-13.6909,9.9803
-13.9183,9.9951
-14.1421,10.0
-14.3625,9.9951
-14.5794,9.9803
-14.7926,9.9556
-15.0022,9.9211
-15.2081,9.8769
-15.4103,9.8229
-15.6086,9.7592
-15.8031,9.6858
-15.9937,9.6029
-16.1803,9.5106
-16.363,9.4088
-16.5416,9.2978
-16.7161,9.1775
-16.8866,9.0483
-17.0528,8.9101
-17.2148,8.7631
-17.3726,8.6074
-17.5261,8.4433
-17.6753,8.2708
-17.8201,8.0902
-17.9606,7.9016
-18.0965,7.7051
-18.2281,7.5011
-18.3551,7.2897
-18.4776,7.0711
-18.5955,6.8455
-18.7089,6.6131
-18.8176,6.3742
-18.9217,6.1291
-19.0211,5.8779
-19.1159,5.6208
-19.2059,5.3583
-19.2911,5.0904
-19.3717,4.8175
-19.4474,4.5399
-19.5183,4.2578
-19.5845,3.9715
-19.6457,3.6812
-19.7022,3.3874
-19.7538,3.0902
-19.8005,2.7899
-19.8423,2.4869
-19.8792,2.1814
-19.9112,1.8738
-19.9383,1.5643
-19.9605,1.2533
-19.9778,0.9411
-19.9901,0.6279
-19.9975,0.3141
-20.0,0.0
-19.9975,-0.3141
-19.9901,-0.6279
-19.9778,-0.9411
-19.9605,-1.2533
-19.9383,-1.5643
-19.9112,-1.8738
-19.8792,-2.1814
-19.8423,-2.4869
-19.8005,-2.7899
-19.7538,-3.0902
-19.7022,-3.3874
-19.6457,-3.6812
-19.5845,-3.9715
-19.5183,-4.2578
-19.4474,-4.5399
-19.3717,-4.8175
-19.2911,-5.0904
-19.2059,-5.3583
-19.1159,-5.6208
-19.0211,-5.8779
-18.9217,-6.1291
-18.8176,-6.3742
-18.7089,-6.6131
-18.5955,-6.8455
-18.4776,-7.0711
-18.3551,-7.2897
-18.2281,-7.5011
-18.0965,-7.7051
-17.9606,-7.9016
-17.8201,-8.0902
-17.6753,-8.2708
-17.5261,-8.4433
-17.3726,-8.6074
-17.2148,-8.7631
-17.0528,-8.9101
-16.8866,-9.0483
-16.7161,-9.1775
-16.5416,-9.2978
-16.363,-9.4088
-16.1803,-9.5106
-15.9937,-9.6029
-15.8031,-9.6858
-15.6086,-9.7592
-15.4103,-9.8229
-15.2081,-9.8769
-15.0022,-9.9211
-14.7926,-9.9556
-14.5794,-9.9803
-14.3625,-9.9951
-14.1421,-10.0
-13.9183,-9.9951
-13.6909,-9.9803
-13.4603,-9.9556
-13.2262,-9.9211
-12.989,-9.8769
-12.7485,-9.8229
-12.5049,-9.7592
-12.2581,-9.6858
-12.0084,-9.6029
-11.7557,-9.5106
-11.5001,-9.4088
-11.2417,-9.2978
-10.9805,-9.1775
-10.7165,-9.0483
-10.45,-8.9101
-10.1808,-8.7631
-9.9092,-8.6074
-9.6351,-8.4433
-9.3586,-8.2708
-9.0798,-8.0902
-8.7988,-7.9016
-8.5156,-7.7051
-8.2303,-7.5011
-7.943,-7.2897
-7.6537,-7.0711
-7.3625,-6.8455
-7.0695,-6.6131
-6.7748,-6.3742
-6.4783,-6.1291
-6.1803,-5.8779
-5.8808,-5.6208
-5.5798,-5.3583
-5.2775,-5.0904
-4.9738,-4.8175
-4.6689,-4.5399
-4.3629,-4.2578
-4.0557,-3.9715
-3.7476,-3.6812
-3.4386,-3.3874
-3.1287,-3.0902
-2.818,-2.7899
-2.5067,-2.4869
-2.1947,-2.1814
-1.8822,-1.8738
-1.5692,-1.5643
-1.2558,-1.2533
-0.9421,-0.9411
-0.6282,-0.6279
-0.3141,-0.3141
-0.0,-0.0
